year,tag,# of papers
1991, ,8
1992, ,4
1993, ,7
1994, ,3
1995, ,6
1996, ,21
1997, ,22
1998, ,45
1999,54,54
2000, ,185
2001, ,147
2002,246,246
2003, ,282
2004,302,302
2005, ,315
2006, ,383
2007, ,355
2008, ,374
2009, ,397
2010, ,389
2011,419,419
2012, ,439
2013, ,467
2014, ,493
2015,523,523
2016, ,541
2017, ,526
2018, ,520
2019,541,541
