year,tag,size
2024,$4.7billion,4.7
2020,$2.6billion,2.62
2019, ,2.4
2018,$1.1billion,1.1
2017, ,0.87
2016, ,0.82
2015, ,0.66
2013,$0.6billion,0.57
2011, ,0.28
