x,target,tag,y
2020,Google,2.54Tbps,2540
2020,AWS,2.3Tbps,2300
2018,NETSCOUT,1.7Tbps,1700
2018,GitHub,1.35Tbps,1350
2017,Google,623Gbps,623
2016,Dyn,1.2Tbps,1200
2016,Kreb, ,1100
2014,OccupyCentral,500Gbps,500
2014,CloudFlare, ,400
2013,Spamhaus,300Gbps,300
2012,Banks at U.S., ,63.3
2009,Unknown,49Gbps,49
2007,Georgia, ,0.81
2002,DNS Root,900Mbps,0.9
