year,tag,# of papers
2000,168,168
2001, ,144
2002, ,241
2003, ,280
2004, ,288
2005,298,298
2006, ,374
2007, ,331
2008, ,346
2009, ,368
2010,400,400
2011, ,428
2012, ,461
2013, ,478
2014, ,526
2015, ,545
2016,609,609
2017, ,567
2018, ,571
2019, ,602
2020, ,631
2021, ,658
2022,650,650
2023, ,607
