SDN,IoT,"AI
ML",Cloud,"Wireless
Mobile","Tracing
Tracking",Web,Filter
0.0,0.0625,0.0,0.0,0.0,0.1875,0.4375,0.3125
0.0,0.047619047619047616,0.023809523809523808,0.0,0.5952380952380952,0.11904761904761904,0.14285714285714285,0.07142857142857142
0.0,0.0,0.0847457627118644,0.0,0.288135593220339,0.2542372881355932,0.1016949152542373,0.2711864406779661
0.0,0.02702702702702703,0.08108108108108109,0.0,0.43243243243243246,0.1891891891891892,0.04054054054054054,0.22972972972972974
0.0,0.0375,0.0375,0.0,0.5125,0.2,0.0625,0.15
0.018018018018018018,0.04504504504504504,0.06306306306306306,0.0,0.4864864864864865,0.10810810810810811,0.13513513513513514,0.14414414414414414
0.0,0.033707865168539325,0.14606741573033707,0.0,0.4943820224719101,0.15730337078651685,0.0449438202247191,0.12359550561797752
0.0,0.010526315789473684,0.10526315789473684,0.021052631578947368,0.47368421052631576,0.08421052631578947,0.14736842105263157,0.15789473684210525
0.0,0.05714285714285714,0.047619047619047616,0.009523809523809525,0.6095238095238096,0.0761904761904762,0.0761904761904762,0.12380952380952381
0.0,0.0273972602739726,0.11643835616438356,0.0547945205479452,0.6027397260273972,0.04794520547945205,0.0821917808219178,0.0684931506849315
0.0,0.09202453987730061,0.07975460122699386,0.024539877300613498,0.49693251533742333,0.07975460122699386,0.13496932515337423,0.09202453987730061
0.0,0.12994350282485875,0.1016949152542373,0.10734463276836158,0.4124293785310734,0.0847457627118644,0.12429378531073447,0.03954802259887006
0.0106951871657754,0.12834224598930483,0.058823529411764705,0.18716577540106952,0.33689839572192515,0.06417112299465241,0.16042780748663102,0.053475935828877004
0.02456140350877193,0.10526315789473684,0.09824561403508772,0.2,0.4245614035087719,0.03859649122807018,0.06315789473684211,0.0456140350877193
0.08955223880597014,0.10820895522388059,0.07835820895522388,0.2462686567164179,0.33955223880597013,0.04477611940298507,0.06343283582089553,0.029850746268656716
0.12580645161290321,0.1,0.09032258064516129,0.25161290322580643,0.24516129032258063,0.03225806451612903,0.1032258064516129,0.05161290322580645
0.20189274447949526,0.11041009463722397,0.14511041009463724,0.20504731861198738,0.1892744479495268,0.015772870662460567,0.10725552050473186,0.025236593059936908
0.2132132132132132,0.14414414414414414,0.26126126126126126,0.12612612612612611,0.16816816816816818,0.009009009009009009,0.04804804804804805,0.03003003003003003
0.2577565632458234,0.15035799522673032,0.30071599045346065,0.11694510739856802,0.10978520286396182,0.00954653937947494,0.031026252983293555,0.02386634844868735
0.1686182669789227,0.15690866510538642,0.3629976580796253,0.10772833723653395,0.11007025761124122,0.01639344262295082,0.04215456674473068,0.0351288056206089
0.1688073394495413,0.13027522935779817,0.46972477064220186,0.07155963302752294,0.10458715596330276,0.011009174311926606,0.031192660550458717,0.012844036697247707
0.13357400722021662,0.13176895306859207,0.5216606498194946,0.0703971119133574,0.08483754512635379,0.01444043321299639,0.023465703971119134,0.019855595667870037
